transaction_id,account_id,trade_date,settlement_date,amount,margin_pct,status,source_system,region,product_type
100000000000000061,A1001,2026-01-03,2026-01-05,694330.29,0.1050,Pending,GL,EMEA,Equity
100000000000000062,A1002,2026-01-04,2026-01-06,134602.56,0.2357,Review,TradeCapture,APAC,Fixed Income
100000000000000063,A1003,2026-01-05,2026-01-07,200177.60,0.2096,Approved,Subledger,NA,Derivative
100000000000000064,A1004,2026-01-06,2026-01-08,166903.04,0.2152,Review,Subledger,EMEA,Fixed Income
100000000000000065,,2026-01-07,2026-01-09,167270.37,0.1854,Review,Subledger,EMEA,Equity
100000000000000066,A1006,2026-01-08,2026-01-10,725170.14,0.1130,Review,TradeCapture,APAC,FX
100000000000000067,A1007,2026-01-09,2026-01-11,704433.93,0.0819,Rejected,GL,APAC,FX
100000000000000068,A1008,2026-01-10,2026-01-12,28789.07,0.1733,Rejected,TradeCapture,EMEA,Derivative
100000000000000069,A1009,2026-01-11,2026-01-13,454696.02,0.1572,Review,TradeCapture,NA,FX
100000000000000070,A1010,2026-01-12,2026-01-14,33385.46,,Pending,Subledger,EMEA,Equity
100000000000000071,A1011,2026-01-13,2026-01-15,711660.98,0.2349,Rejected,TradeCapture,NA,FX
100000000000000072,A1012,2026-01-14,2026-01-16,380391.17,0.1867,Rejected,Subledger,APAC,FX
100000000000000073,A1013,2026-01-15,2026-01-17,415853.92,0.0964,Review,TradeCapture,APAC,Fixed Income
100000000000000074,A1014,2026-01-16,2026-01-18,461674.64,0.1172,Approved,Subledger,EMEA,Fixed Income
100000000000000075,A1015,2026-01-17,2026-01-19,322473.12,0.1702,N/A,Subledger,EMEA,Derivative
100000000000000076,A1016,2026-01-18,2026-01-20,506752.86,0.1571,Pending,TradeCapture,NA,FX
100000000000000077,A1017,2026-01-19,2026-01-21,386637.46,0.1803,Rejected,GL,NA,FX
100000000000000078,A1018,2026-01-20,2026-01-22,168558.04,0.0978,Approved,GL,NA,Derivative
100000000000000079,A1019,2026-01-21,2026-01-23,458494.35,0.2060,Review,Subledger,APAC,Fixed Income
100000000000000080,A1000,2026-01-22,2026-01-24,538787.60,0.1330,Review,GL,NA,Equity
100000000000000081,A1001,2026-01-23,2026-01-25,669505.60,0.2235,Approved,Subledger,NA,Fixed Income
100000000000000082,A1002,2026-01-24,2026-01-26,603101.98,0.1922,Review,GL,APAC,Fixed Income
100000000000000083,A1003,2026-01-25,2026-01-27,688110.76,0.0831,Pending,Subledger,APAC,FX
100000000000000084,A1004,2026-01-26,2026-01-28,712534.70,0.2294,Review,TradeCapture,EMEA,Fixed Income
100000000000000085,A1005,2026-01-27,2026-01-29,557767.22,0.1502,Rejected,GL,APAC,FX
100000000000000086,A1006,2026-01-28,2026-01-30,574383.68,0.1590,Pending,Subledger,EMEA,Equity
100000000000000087,A1007,2026-01-29,2026-01-31,535187.29,0.1046,Rejected,Subledger,APAC,Equity
100000000000000088,A1008,2026-01-30,2026-02-01,103866.71,0.1039,Pending,TradeCapture,NA,Equity
100000000000000089,A1009,2026-01-31,2026-02-02,311209.44,0.1229,Review,Subledger,NA,Fixed Income
100000000000000090,A1010,2026-01-02,2026-01-04,624685.09,0.1340,Approved,TradeCapture,EMEA,Derivative
100000000000000091,A1011,2026-01-03,2026-01-05,4521.47,0.1268,Review,Subledger,APAC,Fixed Income
100000000000000092,A1012,2026-01-04,2026-01-06,366223.29,0.1119,Review,GL,EMEA,FX
100000000000000093,A1013,2026-01-05,2026-01-07,501688.33,0.2116,Pending,Subledger,NA,Equity
100000000000000094,A1014,2026-01-06,2026-01-08,680205.95,0.1725,Approved,GL,APAC,Derivative
100000000000000095,A1015,2026-01-07,2026-01-09,101861.05,0.1477,Approved,Subledger,EMEA,FX
100000000000000096,A1016,2026-01-08,2026-01-10,158824.05,0.1221,Review,Subledger,EMEA,FX
100000000000000097,A1017,2026-01-09,2026-01-11,626199.70,0.1494,Approved,Subledger,NA,Equity
100000000000000098,A1018,2026-01-10,2026-01-12,585946.66,0.1838,Approved,GL,NA,Equity
100000000000000099,A1019,2026-01-11,2026-01-13,466039.61,0.1053,Review,TradeCapture,NA,Fixed Income
100000000000000100,A1000,2026-01-12,2026-01-14,348828.98,0.1087,Rejected,GL,APAC,Equity
